pod,base,best,ridge,lasso,svm,chosen
D3,4.9,1.3,0.9,2.2,1,1.3
D0,7.5,0.6,0.3,1.8,0.2,1.8
D4,4.5,2.5,4,3.6,4.4,2.5
D8,0.5,3.2,6.3,5.9,5.5,3.2
F3,1.8,1.7,1.9,4.9,3.3,1.7
D6,6,3.6,7.3,6.7,8.5,3.6
F4,1.8,1.5,0.8,0.1,0.4,1.5
F7,2.2,1.6,4.7,0.7,7.3,0.7
F5,14.3,3.1,6.7,3.3,0.5,3.3
F6,7.3,3.6,4.3,6.3,5.1,3.6
F8,1.6,1.5,2.1,1.3,7,1.3
N5,8.1,0.7,3.8,3.8,4.8,3.8
N3,7.1,4.8,5.2,5.2,4.9,4.8
N4,4.9,3.1,4.5,4.5,3,3.1
N7,3.9,1.9,0.3,0.7,1.1,0.7
N8,5.4,4.4,3,3.5,1.8,4.4
F9,16,1.6,2.3,3.6,4.2,1.6
