pod_num,base_mse,base_high_mse,base_abs_diff,best_mse,best_high_mse,best_abs_diff,pod
Pod D3,6,6,4.9,5,4,1.3, A
Pod D0,8,9,7.5,6,5,1.8, B
Pod D4,6,6,4.5,5,5,2.5, C
Pod D8,5,3,0.5,5,4,3.2, D
Pod F3,6,4,1.8,4,4,1.7, E
Pod D6,5,7,6,5,6,3.6, F
Pod F4,6,4,1.8,4,3,1.5, G
Pod F7,6,5,2.2,4,3,0.7, H
Pod F5,10,15,14.3,4,4,3.3, I
Pod F6,7,8,7.3,4,5,3.6, J
Pod N5,11,5,4.7,8,3,0.7, K
Pod N3,11,8,8.1,6,5,3.8, L
Pod N4,7,8,7.2,5,6,4.9, M
Pod N7,5,7,4.9,4,6,3.1, N
Pod N8,5,5,3.9,5,3,0.7, O
Pod F9,5,6,5.4,6,5,4.4, P
